ps,qs,Ps,Qs,aic
0,0,0,0,-225.2805311793613
0,0,0,1,-253.14076014659372
0,0,0,2,-251.14918453205814
0,0,0,3,-217.8328355114324
0,0,0,4,-249.5976527514868
0,0,1,0,-244.9664094179169
0,0,1,1,-251.14827746142532
0,0,1,2,-249.16162075458078
0,0,1,3,-247.182748247149
0,0,1,4,-250.19619379424466
0,0,2,0,-248.21429144900313
0,0,2,1,-249.27017386076818
0,0,2,2,-247.19647756521044
0,0,2,3,-247.50575024892663
0,0,2,4,-247.38307445650685
0,0,3,0,-248.6126479105465
0,0,3,1,-247.8143219404099
0,0,3,2,-250.82850835264594
0,0,3,3,-248.66430003965132
0,0,3,4,-245.52599126930585
0,0,4,0,-249.30989366632474
0,0,4,1,-247.3146685213328
0,0,4,2,-249.45800779795502
0,0,4,3,-247.7827865489138
0,0,4,4,-248.34889692791933
0,1,0,0,-240.243127309475
0,1,0,1,-267.6892379283529
0,1,0,2,-266.3792426167382
0,1,0,3,-264.628496972397
0,1,0,4,-266.6296621617704
0,1,1,0,-264.4715507357269
0,1,1,1,-266.3270459954902
0,1,1,2,-265.27426838466533
0,1,1,3,-263.26223268248646
0,1,1,4,-267.2763217556388
0,1,2,0,-265.1254388405014
0,1,2,1,-264.3324436101779
0,1,2,2,-262.32819615090716
0,1,2,3,-265.75507557286755
0,1,2,4,-265.39564037945775
0,1,3,0,-265.33986749199477
0,1,3,1,-263.3460265539278
0,1,3,2,-265.217852593423
0,1,3,3,-265.86312811899376
0,1,3,4,-263.36722587107266
0,1,4,0,-263.3506361217984
0,1,4,1,-263.93937524228323
0,1,4,2,-264.98360848894924
0,1,4,3,-263.54940983699714
0,1,4,4,-261.8004372689728
0,2,0,0,-238.29130682288297
0,2,0,1,-265.7820972971841
0,2,0,2,-264.4550309474014
0,2,0,3,-262.73270300602474
0,2,0,4,-265.0014118696739
0,2,1,0,-262.4818894914566
0,2,1,1,-264.4013387636512
0,2,1,2,-263.26846198435317
0,2,1,3,-261.0307851929981
0,2,1,4,-265.3650845843108
0,2,2,0,-263.16736898435244
0,2,2,1,-262.40841507682785
0,2,2,2,-260.4018882961252
0,2,2,3,-264.22711531992707
0,2,2,4,-263.7972889797195
0,2,3,0,-263.4564476590927
0,2,3,1,-261.4605613698684
0,2,3,2,-261.3159844443245
0,2,3,3,-263.8548420995091
0,2,3,4,-261.2794596517353
0,2,4,0,-261.4640757018507
0,2,4,1,-262.46080086325503
0,2,4,2,-263.0154300684884
0,2,4,3,-261.1200135322438
0,2,4,4,-259.8287948386134
0,3,0,0,-241.38478710232147
0,3,0,1,-267.1509098467694
0,3,0,2,-265.3416851812696
0,3,0,3,-263.4160380804849
0,3,0,4,-266.52317050512295
0,3,1,0,-262.75879813467407
0,3,1,1,-265.3352810742439
0,3,1,2,-263.9615016828542
0,3,1,3,-262.0046886779671
0,3,1,4,-266.59895556247943
0,3,2,0,-263.39227384681
0,3,2,1,-263.3352784454984
0,3,2,2,-261.4639792169312
0,3,2,3,-262.5769719578493
0,3,2,4,-264.30667069065237
0,3,3,0,-265.0579651386152
0,3,3,1,-263.07544692114664
0,3,3,2,-262.7903102717464
0,3,3,3,-264.24950336328703
0,3,3,4,-261.8554757880962
0,3,4,0,-263.08839668137216
0,3,4,1,-261.0617549470305
0,3,4,2,-259.5740455133379
0,3,4,3,-260.774158933626
0,3,4,4,-259.72347262020514
1,0,0,0,-239.64351043036353
1,0,0,1,-266.49307247978726
1,0,0,2,-264.8593075299427
1,0,0,3,-262.94959483337783
1,0,0,4,-264.1662104917333
1,0,1,0,-262.5847861285273
1,0,1,1,-264.84394081408993
1,0,1,2,-263.45954921363136
1,0,1,3,-261.4224172365902
1,0,1,4,-265.4583217828945
1,0,2,0,-263.34639065305043
1,0,2,1,-262.84463415774326
1,0,2,2,-261.4575945134861
1,0,2,3,-263.55235956268496
1,0,2,4,-263.23031568186656
1,0,3,0,-263.6494548971517
1,0,3,1,-261.6926508805466
1,0,3,2,-263.52925304794826
1,0,3,3,-263.20505926594467
1,0,3,4,-260.82007107405434
