num,sequance,probabilities
0,0303010003030210003011003010333330120202020210012012120120030100200330210210001002103033333303002021111033333001020121110101003001021003021121021112120002021020033301100121021201111201103002111202112112103000003010020303011112003020303330021212120030020203002001201203012021121121200330011012102012021112101121210210021003033333000330333030012110001100103000120121020330033333030011020111112030200200101001102011030210330020201200301121210333020330001120301030001110021201200333333010101212011020103330303301020210003333030333033302011011020200303302000203330330333333330020211010333302111210300001020211202021120030211030103333020212111121203303330333030012033330303020303333010111010202101211210201030210033002010330200020212033301110030330001020333010110120330330102100020033301110333301120333020100012102120330021211121121112112101120033333333302120020111120202002111120003330110333330200102030203303030211011030012033300333333333010200100201033301033300112101121120002101020111033012020212033301,0.2056567593480345-0.3744007670182167-0.15052732502396932-0.2694151486097795
0,0303010003030210003011003010333330120202020210012012120120030100200330210210001002103033333303002021111033333001020121110101003001021003021121021112120002021020033301100121021201111201103002111202112112103000003010020303011112003020303330021212120030020203002001201203012021121121200330011012102012021112101121210210021003033333000330333030012110001100103000120121020330033333030011020111112030200200101001102011030210330020201200301121210333020330001120301030001110021201200333333010101212011020103330303301020210003333030333033302011011020200303302000203330330333333330020211010333302111210300001020211202021120030211030103333020212111121203303330333030012033330303020303333010111010202101211210201030210033002010330200020212033301110030330001020333010110120330330102100020033301110333301120333020100012102120330021211121121112112101120033333333302120020111120202002111120003330110333330200102030203303030211011030012033300333333333010200100201033301033300112101121120002101020111033012020212033301,0.2056567593480345-0.3744007670182167-0.15052732502396932-0.2694151486097795
0,0303010003030210003011003010333330120202020210012012120120030100200330210210001002103033333303002021111033333001020121110101003001021003021121021112120002021020033301100121021201111201103002111202112112103000003010020303011112003020303330021212120030020203002001201203012021121121200330011012102012021112101121210210021003033333000330333030012110001100103000120121020330033333030011020111112030200200101001102011030210330020201200301121210333020330001120301030001110021201200333333010101212011020103330303301020210003333030333033302011011020200303302000203330330333333330020211010333302111210300001020211202021120030211030103333020212111121203303330333030012033330303020303333010111010202101211210201030210033002010330200020212033301110030330001020333010110120330330102100020033301110333301120333020100012102120330021211121121112112101120033333333302120020111120202002111120003330110333330200102030203303030211011030012033300333333333010200100201033301033300112101121120002101020111033012020212033301,0.2056567593480345-0.3744007670182167-0.15052732502396932-0.2694151486097795
0,0303010003030210003011003010333330120202020210012012120120030100200330210210001002103033333303002021111033333001020121110101003001021003021121021112120002021020033301100121021201111201103002111202112112103000003010020303011112003020303330021212120030020203002001201203012021121121200330011012102012021112101121210210021003033333000330333030012110001100103000120121020330033333030011020111112030200200101001102011030210330020201200301121210333020330001120301030001110021201200333333010101212011020103330303301020210003333030333033302011011020200303302000203330330333333330020211010333302111210300001020211202021120030211030103333020212111121203303330333030012033330303020303333010111010202101211210201030210033002010330200020212033301110030330001020333010110120330330102100020033301110333301120333020100012102120330021211121121112112101120033333333302120020111120202002111120003330110333330200102030203303030211011030012033300333333333010200100201033301033300112101121120002101020111033012020212033301,0.2056567593480345-0.3744007670182167-0.15052732502396932-0.2694151486097795
1,0000313121223312232122213000033230323213321312213000332230303130030313000003321212321321221230331333222303132222312331221221300313332223000313000321213122221331312132313003133213232333213223323212313223322133003223000303331300312212131221321321322213331213000003130000030030313033122123212123122333031212121233322231221223121313313123030323000032313133121222123222303312312233232231221313133133312323000312312321213331222121323122123132330312123230032212221213233333312232212212312223221322333003332233122231233131212223123313121323000300000333003313003130313303123000332132221212233123032122313213122213312132131232213122121213003321312123133333121312300000032132222300000003003130032330323313303300321230003322130322121230031312123223332230003130303303131300031303213231332330322131213323323212312122313133223321322221322322232123133222122122300032132222132231300032313121213000323333213121300032300031312132331212231300000331213031300330323332130303223312233133312332212313030312300003132333300000,0.2056567593480345-0.3744007670182167-0.15052732502396932-0.2694151486097795
1,0000313121223312232122213000033230323213321312213000332230303130030313000003321212321321221230331333222303132222312331221221300313332223000313000321213122221331312132313003133213232333213223323212313223322133003223000303331300312212131221321321322213331213000003130000030030313033122123212123122333031212121233322231221223121313313123030323000032313133121222123222303312312233232231221313133133312323000312312321213331222121323122123132330312123230032212221213233333312232212212312223221322333003332233122231233131212223123313121323000300000333003313003130313303123000332132221212233123032122313213122213312132131232213122121213003321312123133333121312300000032132222300000003003130032330323313303300321230003322130322121230031312123223332230003130303303131300031303213231332330322131213323323212312122313133223321322221322322232123133222122122300032132222132231300032313121213000323333213121300032300031312132331212231300000331213031300330323332130303223312233133312332212313030312300003132333300000,0.2056567593480345-0.3744007670182167-0.15052732502396932-0.2694151486097795
1,0000313121223312232122213000033230323213321312213000332230303130030313000003321212321321221230331333222303132222312331221221300313332223000313000321213122221331312132313003133213232333213223323212313223322133003223000303331300312212131221321321322213331213000003130000030030313033122123212123122333031212121233322231221223121313313123030323000032313133121222123222303312312233232231221313133133312323000312312321213331222121323122123132330312123230032212221213233333312232212212312223221322333003332233122231233131212223123313121323000300000333003313003130313303123000332132221212233123032122313213122213312132131232213122121213003321312123133333121312300000032132222300000003003130032330323313303300321230003322130322121230031312123223332230003130303303131300031303213231332330322131213323323212312122313133223321322221322322232123133222122122300032132222132231300032313121213000323333213121300032300031312132331212231300000331213031300330323332130303223312233133312332212313030312300003132333300000,0.2056567593480345-0.3744007670182167-0.15052732502396932-0.2694151486097795
1,0000313121223312232122213000033230323213321312213000332230303130030313000003321212321321221230331333222303132222312331221221300313332223000313000321213122221331312132313003133213232333213223323212313223322133003223000303331300312212131221321321322213331213000003130000030030313033122123212123122333031212121233322231221223121313313123030323000032313133121222123222303312312233232231221313133133312323000312312321213331222121323122123132330312123230032212221213233333312232212212312223221322333003332233122231233131212223123313121323000300000333003313003130313303123000332132221212233123032122313213122213312132131232213122121213003321312123133333121312300000032132222300000003003130032330323313303300321230003322130322121230031312123223332230003130303303131300031303213231332330322131213323323212312122313133223321322221322322232123133222122122300032132222132231300032313121213000323333213121300032300031312132331212231300000331213031300330323332130303223312233133312332212313030312300003132333300000,0.2056567593480345-0.3744007670182167-0.15052732502396932-0.2694151486097795
2,3233223333222323222223222332222332322233333222333233333333232322233222232332232323223232332223233332332322332223332232333332333222333332333232232232232223222223233332323332223333323223223323233333323232223333322233333322223322232323333332223333223223233232322233322332223322322323332322332223332233322233322333233322322232222223323233333223333323332333332323322223222333222223323323223222323322333322322323223323223232233223223222222322222332223332323223323222232223233222323233233222332222223333333222233322333232333222232322323322222232233332222233232322233332322332322323322333332322323333322232333333222232233223333333232322323232222232222232332323232222223233322223322323223323323233333322232333223322223322223333233223222223322322322323322223222323222322333232332322223233232333233232233332223322223222333322233322223233332323323233233333233232333232223323232333222323232332333332323223223322332333233232323322333323323332222223323332222222232232233322332323222223333333223232232332332233222333,0.2056567593480345-0.3744007670182167-0.15052732502396932-0.2694151486097795
2,3233223333222323222223222332222332322233333222333233333333232322233222232332232323223232332223233332332322332223332232333332333222333332333232232232232223222223233332323332223333323223223323233333323232223333322233333322223322232323333332223333223223233232322233322332223322322323332322332223332233322233322333233322322232222223323233333223333323332333332323322223222333222223323323223222323322333322322323223323223232233223223222222322222332223332323223323222232223233222323233233222332222223333333222233322333232333222232322323322222232233332222233232322233332322332322323322333332322323333322232333333222232233223333333232322323232222232222232332323232222223233322223322323223323323233333322232333223322223322223333233223222223322322322323322223222323222322333232332322223233232333233232233332223322223222333322233322223233332323323233233333233232333232223323232333222323232332333332323223223322332333233232323322333323323332222223323332222222232232233322332323222223333333223232232332332233222333,0.2056567593480345-0.3744007670182167-0.15052732502396932-0.2694151486097795
